Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sri Lanka,-,-,-,-,37,34,35,32,31,32,32,31,32,33,40,37,38,37
Sudan,-,-,-,-,-,23,22,21,20,18,16,15,16,15.6,13,11,11,12
Suriname,-,-,-,-,-,-,43,32,30,35,36,37,-,30.3,37,36,36,36
Swaziland,-,-,-,-,-,-,-,27,25,33,36,36,32,30.8,37,39,43,-
Sweden,95,94,94,90,93,93,92,92,92,93,93,92,92,93,88,89,87,89
Switzerland,89,89,86,84,85,88,91,91,91,90,90,90,87,88,86,85,86,86
Syria,-,-,-,-,-,34,34,34,29,24,21,26,25,25.6,26,17,20,18
Taijikistan,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
Taiwan,53,56,55,59,56,57,56,59,59,57,57,56,58,61.4,61,61,61,62
Tajikistan,-,-,-,-,-,18,20,21,22,21,-,20,21,22.7,22,22,23,26
Tanzania,19,19,25,22,27,25,28,29,29,32,30,26,27,29.5,35,33,31,30
Thailand,30,32,32,32,32,33,36,38,36,33,35,34,35,33.8,37,35,38,38
The FYR of Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,42
Timor-Leste,-,-,-,-,-,-,-,-,26,26,22,22,25,23.8,33,30,28,28
Togo,-,-,-,-,-,-,-,-,24,23,27,28,24,23.8,30,29,29,32
Tonga,-,-,-,-,-,-,-,-,-,17,24,30,30,31.4,-,-,-,-
Trinidad & Tobago,-,-,-,53,49,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,-,-,-,-,-,46,42,38,32,34,36,36,36,31.7,39,38,38,39
Tunisia,50,50,52,53,48,49,50,49,46,42,44,42,43,37.6,41,41,40,38
Turkey,34,36,38,36,32,31,32,35,38,41,46,44,44,42.1,49,50,45,42
Turkmenistan,-,-,-,-,-,-,20,18,22,20,18,18,16,16,17,17,17,18
Uganda,26,22,23,19,21,22,26,25,27,28,26,25,25,24.3,29,26,26,25
Ukraine,28,26,15,21,24,23,22,26,28,27,25,22,24,23,26,25,26,27
United Arab Emirates,-,-,-,-,-,52,61,62,62,57,59,65,63,68.2,68,69,70,70
United Kingdom,87,86,87,83,87,87,86,86,86,84,77,77,76,77.8,74,76,78,81
United States,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76
United States,75,-,-,-,-,-,-,-,-,-,-,75,71,71.4,73,73,74,-
Uruguay,43,44,-,51,51,55,62,59,64,67,69,67,69,70.4,72,73,73,74
USA,-,75,78,76,77,75,75,76,73,72,73,-,-,-,-,-,-,-
Uzbekistan,-,18,24,27,29,24,23,22,21,17,18,17,16,16.2,17,17,18,19
Vanuatu,-,-,-,-,-,-,-,-,-,31,29,32,36,35.3,-,-,-,-
Venezuela,23,26,27,28,25,24,23,23,23,20,19,19,20,18.9,19,20,19,17
Viet Nam,-,-,-,-,-,-,-,-,26,26,27,-,-,-,-,-,-,-
Vietnam,25,26,25,26,24,24,26,26,-,-,-,27,27,28.6,31,31,31,31
Yemen,-,-,-,-,-,26,24,27,26,25,23,21,22,20.8,23,18,19,18
Yugoslavia,30,20,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,35,35,34,26,26,25,26,26,26,26,28,30,30,32,37,38,38,38
Zimbabwe,42,41,30,29,27,23,23,26,24,21,18,22,24,22.3,20,21,21,21
